"AssetId","Title","Query","MatchTitle","SoundUrl","PreviewUrl","License","DownloadedFile","Status"
"sfx_classroom_murmur_lockers","Classroom Murmur Loop","classroom ambience lockers","Classroom Ambience - High School Class.wav","https://freesound.org/people/okieactor/sounds/417041/","https://cdn.freesound.org/previews/417/417041_7107077-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_classroom_murmur_lockers.mp3","downloaded"
"sfx_chair_slide_floor","Chair Slide","chair scrape floor","ED Center Chair.mp3","https://freesound.org/people/frederickls/sounds/441695/","https://cdn.freesound.org/previews/441/441695_9107250-lq.mp3","","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_chair_slide_floor.mp3","downloaded"
"sfx_shoulder_smack","Shoulder Smack","slap cloth impact","Rolled paper,slapping 9.wav","https://freesound.org/people/nahmandub/sounds/131358/","https://cdn.freesound.org/previews/131/131358_1513948-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_shoulder_smack.mp3","downloaded"
"sfx_cloth_rustle_soft","Cloth Rustle","cloth rustle","Clothing rustling1.mp3","https://freesound.org/people/toiledejouy84/sounds/495468/","https://cdn.freesound.org/previews/495/495468_7512327-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_cloth_rustle_soft.mp3","downloaded"
"sfx_library_pages_pencil","Library Ambience","library ambience pages","Library","https://freesound.org/people/Ultra-Edward/sounds/820017/","https://cdn.freesound.org/previews/820/820017_16786392-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_library_pages_pencil.mp3","downloaded"
"sfx_library_doors_creak","Library Double Doors Creak","library door creak","Doors, wooden door, long creak, open, close, office, Wooden Door, Office Door  Knock.wav","https://freesound.org/people/SFXAFRIK/sounds/584860/","https://cdn.freesound.org/previews/584/584860_13143991-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_library_doors_creak.mp3","downloaded"
"sfx_footsteps_carpet_slow","Slow Carpet Footsteps","slow footsteps carpet","01-24 Footsteps, Rug, Slippers, Slow Pace.wav","https://freesound.org/people/SpliceSound/sounds/260116/","https://cdn.freesound.org/previews/260/260116_1480854-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_carpet_slow.mp3","downloaded"
"sfx_paper_crumple","Paper Crumple","paper crumple","Paper Crumple 1","https://freesound.org/people/WasabiWielder/sounds/334201/","https://cdn.freesound.org/previews/334/334201_4290188-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_paper_crumple.mp3","downloaded"
"sfx_hallway_locker_footsteps_distant","Empty Hallway Tail Ambience","school hallway ambience","AMB_School_Hallway_001.wav","https://freesound.org/people/conleec/sounds/159740/","https://cdn.freesound.org/previews/159/159740_221578-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_hallway_locker_footsteps_distant.mp3","downloaded"
"sfx_soft_giggle","Soft Giggle","female giggle","Female giggling, a bit subdued","https://freesound.org/people/susychristiansen/sounds/535257/","https://cdn.freesound.org/previews/535/535257_1490848-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_soft_giggle.mp3","downloaded"
"sfx_teacup_drop_carpet","Teacup Drop on Carpet","cup drop carpet","tea_cup07-rattle+spin.wav","https://freesound.org/people/andre.nascimento/sounds/50118/","https://cdn.freesound.org/previews/50/50118_588695-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_teacup_drop_carpet.mp3","downloaded"
"sfx_football_field_ambience","Football Field Ambience","football field ambience","Soccer Practice and Church Bells","https://freesound.org/people/Julian_Eftei/sounds/831447/","https://cdn.freesound.org/previews/831/831447_11409686-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_football_field_ambience.mp3","downloaded"
"sfx_footsteps_gravel_heavy","Heavy Footsteps on Gravel","heavy footsteps gravel","footsteps boots heavy gravel ext.wav","https://freesound.org/people/kyles/sounds/452629/","https://cdn.freesound.org/previews/452/452629_612689-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_gravel_heavy.mp3","downloaded"
"sfx_football_thwack_cannon","Hyper-Velocity Football Impact","football impact","fotballPlast.wav","https://freesound.org/people/blindmanonacid/sounds/117111/","https://cdn.freesound.org/previews/117/117111_442756-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_football_thwack_cannon.mp3","downloaded"
"sfx_crunch_sickening","Sickening Crunch","impact crunch","Plastic Bag - Impacts - Crunches - Etc","https://freesound.org/people/DaniloSFX/sounds/672774/","https://cdn.freesound.org/previews/672/672774_1357949-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_crunch_sickening.mp3","downloaded"
"sfx_dialup_screech_static","Dial-Up Screech with Static","dial up static","static progression w interference.wav","https://freesound.org/people/cognito%20perceptu/sounds/95860/","https://cdn.freesound.org/previews/95/95860_57789-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_dialup_screech_static.mp3","downloaded"
"sfx_system_boot_chime","Bright System Boot Chime","system boot chime","Computer Chimes - Logged In.aif","https://freesound.org/people/marlonnnnnn/sounds/351880/","https://cdn.freesound.org/previews/351/351880_195590-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_system_boot_chime.mp3","downloaded"
"sfx_school_bell_cheerful","Cheerful School Bell","school bell","Modern School Bell","https://freesound.org/people/BennettFilmTeacher/sounds/403459/","https://cdn.freesound.org/previews/403/403459_7254895-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_school_bell_cheerful.mp3","downloaded"
"sfx_server_hum_low","Server Fan Hum","server hum","Computer Server Room Ambience Loop.wav","https://freesound.org/people/DeVern/sounds/610761/","https://cdn.freesound.org/previews/610/610761_2866779-lq.mp3","","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_server_hum_low.mp3","downloaded"
"sfx_seagull_loop","Seagull Loop","seagull","Violoncello  Seagull 17","https://freesound.org/people/Carlos_Vaquero/sounds/153730/","https://cdn.freesound.org/previews/153/153730_2626346-lq.mp3","Attribution NonCommercial 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_seagull_loop.mp3","downloaded"
"sfx_waves_loop","Waves Loop","ocean waves","Ocean Waves Loop - Day","https://freesound.org/people/Koops/sounds/586117/","https://cdn.freesound.org/previews/586/586117_29508-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_waves_loop.mp3","downloaded"
"sfx_foot_thud_solid_surface","Solid Water Foot Thud","hard footstep thud","metal footstep","https://freesound.org/people/atleastrelatively/sounds/816413/","https://cdn.freesound.org/previews/816/816413_17614127-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_foot_thud_solid_surface.mp3","downloaded"
"sfx_plastic_bottle_squeeze","Plastic Bottle Squeeze","plastic bottle squeeze","Plastic Bottle Being Squeezed.mp3","https://freesound.org/people/PixaPexelAudio/sounds/674628/","https://cdn.freesound.org/previews/674/674628_8843416-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_plastic_bottle_squeeze.mp3","downloaded"
"sfx_gym_shoes_squeak","Sneakers on Gym Floor","shoe squeak gym","basketball_crowd_noise_01.wav","https://freesound.org/people/joedeshon/sounds/264291/","https://cdn.freesound.org/previews/264/264291_1218676-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_gym_shoes_squeak.mp3","downloaded"
"sfx_whistle_sharp","Whistle Blow","coach whistle","coach_whistle_35_long.wav","https://freesound.org/people/kirkpatrick.live/sounds/495367/","https://cdn.freesound.org/previews/495/495367_10730150-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_whistle_sharp.mp3","downloaded"
"sfx_digital_tearing","Digital Tear","glitch tearing","nordy_glitch_002.flac","https://freesound.org/people/tim.kahn/sounds/37918/","https://cdn.freesound.org/previews/37/37918_7037-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_digital_tearing.mp3","downloaded"
"sfx_buzzing_static_rise","Buzzing Static Rise","buzzing static","COMStatic-Blue Snowball Microphone, CU_AM Radio, Buzzing, Nickelodeon Time Blaster_Nicholas Judy_TDC","https://freesound.org/people/designerschoice/sounds/805400/","https://cdn.freesound.org/previews/805/805400_6951162-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_buzzing_static_rise.mp3","downloaded"
"sfx_gym_doors_hiss","Gym Doors Mechanical Hiss","door hiss","bus doors opening.wav","https://freesound.org/people/kwahmah_02/sounds/250633/","https://cdn.freesound.org/previews/250/250633_4486188-lq.mp3","","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_gym_doors_hiss.mp3","downloaded"
"sfx_digital_ping_sharp","Digital Ping","ui ping","Synth Ping UI","https://freesound.org/people/kurumik/sounds/842203/","https://cdn.freesound.org/previews/842/842203_14923891-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_digital_ping_sharp.mp3","downloaded"
"sfx_school_bell_glitch_cutoff","Glitched School Bell","school bell","BELL 02.mp3","https://freesound.org/people/old_bell_boy_melbourne/sounds/493961/","https://cdn.freesound.org/previews/493/493961_7845099-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_school_bell_glitch_cutoff.mp3","downloaded"
"sfx_error_tone_high","High Error Tone","error tone","Error Bleep 5","https://freesound.org/people/original_sound/sounds/372201/","https://cdn.freesound.org/previews/372/372201_6687700-lq.mp3","","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_error_tone_high.mp3","downloaded"
"sfx_hallway_thud_echo","Echoing Hallway Thud","hallway thud","heavy door open close outside","https://freesound.org/people/iggy1345/sounds/673237/","https://cdn.freesound.org/previews/673/673237_1045209-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_hallway_thud_echo.mp3","downloaded"
"sfx_rushing_wind_purge","Reality Purge Wind","whoosh wind","f_Synth_Wind_Whoosh_5.wav","https://freesound.org/people/cyclonek/sounds/529412/","https://cdn.freesound.org/previews/529/529412_6632523-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_rushing_wind_purge.mp3","downloaded"
"sfx_air_conditioner_hum_loud","Air Conditioner Hum","air conditioner hum","SFX-AC,Air Conditioner Hum","https://freesound.org/people/soundandmelodies/sounds/776264/","https://cdn.freesound.org/previews/776/776264_10924423-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_air_conditioner_hum_loud.mp3","downloaded"
"sfx_heavy_single_footstep","Heavy Entrance Footstep","heavy footstep","car_door_mimicking_heavy_robot_footstep_sounds_10122022","https://freesound.org/people/Artninja/sounds/789754/","https://cdn.freesound.org/previews/789/789754_10996917-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_heavy_single_footstep.mp3","downloaded"
"sfx_white_flash_screech","White Flash and Digital Screech","digital screech","Digital Static 2","https://freesound.org/people/Luke_7FPS/sounds/836100/","https://cdn.freesound.org/previews/836/836100_15163570-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_white_flash_screech.mp3","downloaded"
"sfx_phone_ringtone_harsh","Real-World Phone Ringtone","phone ringtone","FX LuMu cellphone ringtone Huawei Y6 fx old phone.wav","https://freesound.org/people/LudwigMueller/sounds/459045/","https://cdn.freesound.org/previews/459/459045_1442200-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_phone_ringtone_harsh.mp3","downloaded"
"sfx_static_breathing_comm","Crackling Static and Breathing","static breathing","Distorted Breathing","https://freesound.org/people/david_werecat/sounds/231659/","https://cdn.freesound.org/previews/231/231659_4183223-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_static_breathing_comm.mp3","downloaded"
"sfx_muffled_bang_upstairs","Muffled Upstairs Bang","muffled bang door slam","Door Low Closing .wav","https://freesound.org/people/RutgerMuller/sounds/50707/","https://cdn.freesound.org/previews/50/50707_179538-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_muffled_bang_upstairs.mp3","downloaded"
"sfx_dialup_phone_burst","Phone-Speaker Dial-Up Burst","dial up modem","Dial-up_sound.mp3.flac","https://freesound.org/people/thearchiveguy99/sounds/658932/","https://cdn.freesound.org/previews/658/658932_14147481-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_dialup_phone_burst.mp3","downloaded"
"sfx_three_slow_knocks","Three Slow Knocks","door knocks","Knocking on Wood Door (1)","https://freesound.org/people/Flem0527/sounds/629987/","https://cdn.freesound.org/previews/629/629987_12715066-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_three_slow_knocks.mp3","downloaded"
"sfx_wooden_door_click_shut","Heavy Wooden Door Shut","wooden door close","FX SaSc Squeak 02 Medium Old Wood Door Wooden Close.wav","https://freesound.org/people/Profispiesser/sounds/583241/","https://cdn.freesound.org/previews/583/583241_6667441-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_wooden_door_click_shut.mp3","downloaded"
"sfx_soft_buzzing_device","Soft Device Buzz","device buzz","starting-up-device","https://freesound.org/people/Eelke/sounds/231461/","https://cdn.freesound.org/previews/231/231461_670687-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_soft_buzzing_device.mp3","downloaded"
"sfx_hesitant_footsteps","Hesitant Footsteps","hesitant footsteps","FOOTSTEPS ON WOOD BRIDGE","https://freesound.org/people/SamuelGremaud/sounds/466070/","https://cdn.freesound.org/previews/466/466070_8031303-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_hesitant_footsteps.mp3","downloaded"
"sfx_static_burst_silence","Static Burst to Silence","static burst","End radio transmission","https://freesound.org/people/ReadeOnly/sounds/47646/","https://cdn.freesound.org/previews/47/47646_545448-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_static_burst_silence.mp3","downloaded"
"sfx_door_unlock_click","Door Unlock Click","door unlock click","door wood heavy antique castle open close turn and rattle handle and lock unlock deadbolt latch click +bg hostel activity on offmic.wav","https://freesound.org/people/kyles/sounds/407304/","https://cdn.freesound.org/previews/407/407304_612689-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_door_unlock_click.mp3","downloaded"
"sfx_door_burst_run","Door Burst and Running Footsteps","door burst footsteps","Run up stairs, open and close door","https://freesound.org/people/bevibeldesign/sounds/349903/","https://cdn.freesound.org/previews/349/349903_4557960-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_door_burst_run.mp3","downloaded"
"sfx_server_rack_boom","Server Rack Crash Boom","server rack crash","Scrap metal dropping / crashing","https://freesound.org/people/SamsterBirdies/sounds/587443/","https://cdn.freesound.org/previews/587/587443_5487341-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_server_rack_boom.mp3","downloaded"
"sfx_digital_glass_shatter","Digital Glass Shatter","digital glass shatter","Slow Motion Glass Shatter","https://freesound.org/people/bevibeldesign/sounds/349905/","https://cdn.freesound.org/previews/349/349905_4557960-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_digital_glass_shatter.mp3","downloaded"
"sfx_footsteps_wooden_stairs_above","Footsteps on Wooden Stairs Above","footsteps wooden stairs","FootstepsOnWoodenStairs.wav","https://freesound.org/people/Sclolex/sounds/210573/","https://cdn.freesound.org/previews/210/210573_985466-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_wooden_stairs_above.mp3","downloaded"
"sfx_dialup_whine_build","Dial-Up Whine Build","dial up tone","hang up.wav","https://freesound.org/people/THE_bizniss/sounds/58228/","https://cdn.freesound.org/previews/58/58228_382028-lq.mp3","","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_dialup_whine_build.mp3","downloaded"
"sfx_static_explosion","Static Explosion","static explosion","090408sintuteh ransine seq var.mp3","https://freesound.org/people/ERH/sounds/60484/","https://cdn.freesound.org/previews/60/60484_215874-lq.mp3","Attribution NonCommercial 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_static_explosion.mp3","downloaded"
"sfx_police_breach_basement","Police Breach Basement","police breach","Police Raid and Wind","https://freesound.org/people/MarcelWagner/sounds/693846/","https://cdn.freesound.org/previews/693/693846_11538612-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_police_breach_basement.mp3","downloaded"
