"AssetId","Title","SuggestedLength","SearchQuery","SearchSort","MatchTitle","SoundUrl","PreviewUrl","License","Downloads","MatchedDurationSeconds","ExpectedMinSeconds","ExpectedMaxSeconds","TargetDurationSeconds","DurationPenaltySeconds","DurationInRange","DownloadedFile","Status"
"sfx_classroom_murmur_lockers","Classroom Murmur Loop","8-15 sec","classroom ambience lockers","Downloads+(most+first)","Classroom Ambience - High School Class.wav","https://freesound.org/people/okieactor/sounds/417041/","https://cdn.freesound.org/previews/417/417041_7107077-lq.mp3","Creative Commons 0","3709","37.4348","8","15","11.5","22.435","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_classroom_murmur_lockers.mp3","downloaded"
"sfx_chair_slide_floor","Chair Slide","1 sec","chair scrape floor","Downloads+(most+first)","ED Center Chair.mp3","https://freesound.org/people/frederickls/sounds/441695/","https://cdn.freesound.org/previews/441/441695_9107250-lq.mp3","","48","4.50719","0.75","1.25","1","3.257","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_chair_slide_floor.mp3","downloaded"
"sfx_shoulder_smack","Shoulder Smack","under 1 sec","slap cloth impact","Downloads+(most+first)","Rolled paper,slapping 9.wav","https://freesound.org/people/nahmandub/sounds/131358/","https://cdn.freesound.org/previews/131/131358_1513948-lq.mp3","Creative Commons 0","233","0.447211","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_shoulder_smack.mp3","downloaded"
"sfx_cloth_rustle_soft","Cloth Rustle","1-2 sec","cloth rustle","Downloads+(most+first)","Clothes Rustling 1","https://freesound.org/people/WasabiWielder/sounds/334219/","https://cdn.freesound.org/previews/334/334219_4290188-lq.mp3","Creative Commons 0","12553","1.71998","1","2","1.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_cloth_rustle_soft.mp3","downloaded"
"sfx_library_pages_pencil","Library Ambience","10-20 sec","library ambience pages","Downloads+(most+first)","Pencil, Writing, Close, A.wav","https://freesound.org/people/InspectorJ/sounds/398271/","https://cdn.freesound.org/previews/398/398271_5121236-lq.mp3","Attribution 4.0","74907","12.7013","10","20","15","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_library_pages_pencil.mp3","downloaded"
"sfx_library_doors_creak","Library Double Doors Creak","2-3 sec","library door creak","Downloads+(most+first)","Door Squeak, Normal, D.wav","https://freesound.org/people/InspectorJ/sounds/346212/","https://cdn.freesound.org/previews/346/346212_5121236-lq.mp3","Attribution 4.0","24434","2.94871","2","3","2.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_library_doors_creak.mp3","downloaded"
"sfx_footsteps_carpet_slow","Slow Carpet Footsteps","3-5 sec","slow footsteps carpet","Downloads+(most+first)","footsteps staircase carpet","https://freesound.org/people/Yuval/sounds/205749/","https://cdn.freesound.org/previews/205/205749_770707-lq.mp3","Creative Commons 0","3335","9.00333","3","5","4","4.003","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_carpet_slow.mp3","downloaded"
"sfx_paper_crumple","Paper Crumple","1 sec","paper crumple","Downloads+(most+first)","crumple.wav","https://freesound.org/people/j1987/sounds/106127/","https://cdn.freesound.org/previews/106/106127_367313-lq.mp3","Creative Commons 0","2387","0.713016","0.75","1.25","1","0.037","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_paper_crumple.mp3","downloaded"
"sfx_hallway_locker_footsteps_distant","Empty Hallway Tail Ambience","5-10 sec","school hallway ambience","Downloads+(most+first)","ambient.mp3","https://freesound.org/people/1477491/sounds/412040/","https://cdn.freesound.org/previews/412/412040_7968429-lq.mp3","Creative Commons 0","168","5.68889","5","10","7.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_hallway_locker_footsteps_distant.mp3","downloaded"
"sfx_soft_giggle","Soft Giggle","1 sec","female giggle","Downloads+(most+first)","laugh1.wav","https://freesound.org/people/levite_sound/sounds/58650/","https://cdn.freesound.org/previews/58/58650_561098-lq.mp3","Attribution 4.0","7502","0.705941","0.75","1.25","1","0.044","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_soft_giggle.mp3","downloaded"
"sfx_teacup_drop_carpet","Teacup Drop on Carpet","1-2 sec","teacup drop carpet","Downloads+(most+first)","tea_cup07-rattle+spin.wav","https://freesound.org/people/andre.nascimento/sounds/50118/","https://cdn.freesound.org/previews/50/50118_588695-lq.mp3","Attribution 4.0","618","2.55002","1","2","1.5","0.55","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_teacup_drop_carpet.mp3","downloaded"
"sfx_football_field_ambience","Football Field Ambience","8-15 sec","football field ambience","Downloads+(most+first)","Soccer stadium Oehh.wav","https://freesound.org/people/Sandermotions/sounds/494362/","https://cdn.freesound.org/previews/494/494362_1402315-lq.mp3","Creative Commons 0","376","9.332","8","15","11.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_football_field_ambience.mp3","downloaded"
"sfx_footsteps_gravel_heavy","Heavy Footsteps on Gravel","2-4 sec","heavy footsteps gravel","Downloads+(most+first)","running gravel or dry leaves loop.wav","https://freesound.org/people/bevangoldswain/sounds/54778/","https://cdn.freesound.org/previews/54/54778_671617-lq.mp3","Sampling+","16857","2.84454","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_gravel_heavy.mp3","downloaded"
"sfx_football_thwack_cannon","Hyper-Velocity Football Impact","1 sec","football impact","Downloads+(most+first)","Soccer Kicking a football","https://freesound.org/people/dersuperanton/sounds/433722/","https://cdn.freesound.org/previews/433/433722_1992856-lq.mp3","Attribution 4.0","14359","1.027","0.75","1.25","1","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_football_thwack_cannon.mp3","downloaded"
"sfx_crunch_sickening","Sickening Crunch","under 1 sec","impact crunch","Downloads+(most+first)","Bone Breaking 13.wav","https://freesound.org/people/Debsound/sounds/136460/","https://cdn.freesound.org/previews/136/136460_1490240-lq.mp3","Attribution NonCommercial 4.0","8223","0.519719","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_crunch_sickening.mp3","downloaded"
"sfx_dialup_screech_static","Dial-Up Screech with Static","2-4 sec","dial up static","Downloads+(most+first)","static progression w interference.wav","https://freesound.org/people/cognito%20perceptu/sounds/95860/","https://cdn.freesound.org/previews/95/95860_57789-lq.mp3","Creative Commons 0","453","23.2163","2","4","3","19.216","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_dialup_screech_static.mp3","downloaded"
"sfx_system_boot_chime","Bright System Boot Chime","1 sec","startup chime","Downloads+(most+first)","vintage video game logo chime","https://freesound.org/people/ChrisReierson/sounds/507984/","https://cdn.freesound.org/previews/507/507984_7137750-lq.mp3","Attribution 4.0","157","1.22499","0.75","1.25","1","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_system_boot_chime.mp3","downloaded"
"sfx_school_bell_cheerful","Cheerful School Bell","2-4 sec","school bell","Downloads+(most+first)","School bell.wav","https://freesound.org/people/deleted_user_7020630/sounds/378394/","https://cdn.freesound.org/previews/378/378394_7020630-lq.mp3","Creative Commons 0","99435","3.68","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_school_bell_cheerful.mp3","downloaded"
"sfx_server_hum_low","Server Fan Hum","6-12 sec loop","server hum","Downloads+(most+first)","humming_.wav","https://freesound.org/people/assembly84/sounds/468915/","https://cdn.freesound.org/previews/468/468915_9782693-lq.mp3","Attribution NonCommercial 4.0","153","12.2491","6","12","9","0.249","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_server_hum_low.mp3","downloaded"
"sfx_seagull_loop","Seagull Loop","4-8 sec","seagull","Downloads+(most+first)","sea gulls.wav","https://freesound.org/people/Snapper4298/sounds/166703/","https://cdn.freesound.org/previews/166/166703_33044-lq.mp3","Creative Commons 0","13503","7.32807","4","8","6","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_seagull_loop.mp3","downloaded"
"sfx_waves_loop","Waves Loop","6-12 sec","ocean waves","Downloads+(most+first)","whoosh04.wav","https://freesound.org/people/FreqMan/sounds/25073/","https://cdn.freesound.org/previews/25/25073_92661-lq.mp3","Attribution 4.0","39642","3.15565","6","12","9","2.844","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_waves_loop.mp3","downloaded"
"sfx_foot_thud_solid_surface","Solid Water Foot Thud","under 1 sec","hard footstep thud","Downloads+(most+first)","metal footstep","https://freesound.org/people/atleastrelatively/sounds/816413/","https://cdn.freesound.org/previews/816/816413_17614127-lq.mp3","Creative Commons 0","382","0.312208","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_foot_thud_solid_surface.mp3","downloaded"
"sfx_plastic_bottle_squeeze","Plastic Bottle Squeeze","1 sec","plastic bottle squeeze","Downloads+(most+first)","squirting bottle","https://freesound.org/people/Thoryn/sounds/445820/","https://cdn.freesound.org/previews/445/445820_8292606-lq.mp3","Attribution 4.0","802","1.16828","0.75","1.25","1","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_plastic_bottle_squeeze.mp3","downloaded"
"sfx_gym_shoes_squeak","Sneakers on Gym Floor","3-5 sec","shoe squeak gym","Downloads+(most+first)","Running on the treadmill.wav","https://freesound.org/people/jone_oost/sounds/366710/","https://cdn.freesound.org/previews/366/366710_6097238-lq.mp3","","1127","114.466","3","5","4","109.466","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_gym_shoes_squeak.mp3","downloaded"
"sfx_whistle_sharp","Whistle Blow","under 1 sec","coach whistle","Downloads+(most+first)","""Coach"" Whistle.aiff","https://freesound.org/people/connersaw8/sounds/161662/","https://cdn.freesound.org/previews/161/161662_2219481-lq.mp3","Creative Commons 0","10213","0.893968","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_whistle_sharp.mp3","downloaded"
"sfx_digital_tearing","Digital Tear","1-2 sec","glitch tearing","Downloads+(most+first)","ynvaf.wav","https://freesound.org/people/tim.kahn/sounds/130378/","https://cdn.freesound.org/previews/130/130378_7037-lq.mp3","Attribution 4.0","349","1.24519","1","2","1.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_digital_tearing.mp3","downloaded"
"sfx_buzzing_static_rise","Buzzing Static Rise","3-6 sec","buzzing static","Downloads+(most+first)","Static Crush","https://freesound.org/people/dotY21/sounds/335206/","https://cdn.freesound.org/previews/335/335206_5048136-lq.mp3","Creative Commons 0","1734","4.96227","3","6","4.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_buzzing_static_rise.mp3","downloaded"
"sfx_gym_doors_hiss","Gym Doors Mechanical Hiss","2 sec","door hiss","Downloads+(most+first)","Hiss.wav","https://freesound.org/people/michael_grinnell/sounds/512470/","https://cdn.freesound.org/previews/512/512470_7372230-lq.mp3","Creative Commons 0","580","1.78213","1.5","2.5","2","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_gym_doors_hiss.mp3","downloaded"
"sfx_digital_ping_sharp","Digital Ping","under 1 sec","ui ping","Downloads+(most+first)","Clang & Ping","https://freesound.org/people/CS279/sounds/202641/","https://cdn.freesound.org/previews/202/202641_3293865-lq.mp3","Creative Commons 0","2207","0.285714","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_digital_ping_sharp.mp3","downloaded"
"sfx_school_bell_glitch_cutoff","Glitched School Bell","2-3 sec","school bell","Downloads+(most+first)","School bell.wav","https://freesound.org/people/deleted_user_7020630/sounds/378394/","https://cdn.freesound.org/previews/378/378394_7020630-lq.mp3","Creative Commons 0","99435","3.68","2","3","2.5","0.68","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_school_bell_glitch_cutoff.mp3","downloaded"
"sfx_error_tone_high","High Error Tone","under 1 sec","error tone","Downloads+(most+first)","Beep error 2","https://freesound.org/people/SamsterBirdies/sounds/581604/","https://cdn.freesound.org/previews/581/581604_5487341-lq.mp3","Creative Commons 0","734","0.178458","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_error_tone_high.mp3","downloaded"
"sfx_hallway_thud_echo","Echoing Hallway Thud","1-2 sec","hallway thud","Downloads+(most+first)","Fast footsteps","https://freesound.org/people/mokasza/sounds/810169/","https://cdn.freesound.org/previews/810/810169_17437502-lq.mp3","Attribution 4.0","217","7.04107","1","2","1.5","5.041","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_hallway_thud_echo.mp3","downloaded"
"sfx_rushing_wind_purge","Reality Purge Wind","2-4 sec","whoosh wind","Downloads+(most+first)","quick woosh","https://freesound.org/people/florianreichelt/sounds/683101/","https://cdn.freesound.org/previews/683/683101_6253486-lq.mp3","Creative Commons 0","17701","2.05298","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_rushing_wind_purge.mp3","downloaded"
"sfx_air_conditioner_hum_loud","Air Conditioner Hum","8-15 sec","air conditioner hum","Downloads+(most+first)","room_ambiance_01.wav","https://freesound.org/people/joedeshon/sounds/265350/","https://cdn.freesound.org/previews/265/265350_1218676-lq.mp3","Creative Commons 0","3085","10.1769","8","15","11.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_air_conditioner_hum_loud.mp3","downloaded"
"sfx_heavy_single_footstep","Heavy Entrance Footstep","under 1 sec","heavy footstep","Downloads+(most+first)","Heavy_footstep.wav","https://freesound.org/people/RonaldVanWonderen/sounds/110099/","https://cdn.freesound.org/previews/110/110099_1919477-lq.mp3","Attribution 4.0","11894","0.135692","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_heavy_single_footstep.mp3","downloaded"
"sfx_white_flash_screech","White Flash and Digital Screech","1-2 sec","digital screech","Downloads+(most+first)","ynvaf.wav","https://freesound.org/people/tim.kahn/sounds/130378/","https://cdn.freesound.org/previews/130/130378_7037-lq.mp3","Attribution 4.0","349","1.24519","1","2","1.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_white_flash_screech.mp3","downloaded"
"sfx_phone_ringtone_harsh","Real-World Phone Ringtone","2-4 sec","phone ringtone","Downloads+(most+first)","phone.wav","https://freesound.org/people/infobandit/sounds/29621/","https://cdn.freesound.org/previews/29/29621_98464-lq.mp3","Attribution 4.0","28022","2.94118","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_phone_ringtone_harsh.mp3","downloaded"
"sfx_static_breathing_comm","Crackling Static and Breathing","3-6 sec","static breathing","Downloads+(most+first)","STM3_growl_loop_short.mp3","https://freesound.org/people/Sikoses/sounds/82772/","https://cdn.freesound.org/previews/82/82772_1322043-lq.mp3","","264","4","3","6","4.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_static_breathing_comm.mp3","downloaded"
"sfx_muffled_bang_upstairs","Muffled Upstairs Bang","1 sec","muffled bang door slam","Downloads+(most+first)","Door Low Closing .wav","https://freesound.org/people/RutgerMuller/sounds/50707/","https://cdn.freesound.org/previews/50/50707_179538-lq.mp3","Creative Commons 0","1420","0.945828","0.75","1.25","1","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_muffled_bang_upstairs.mp3","downloaded"
"sfx_dialup_phone_burst","Phone-Speaker Dial-Up Burst","1-2 sec","dial up modem","Downloads+(most+first)","bleep2.wav","https://freesound.org/people/Quote/sounds/121254/","https://cdn.freesound.org/previews/121/121254_894617-lq.mp3","Creative Commons 0","324","0.274649","1","2","1.5","0.725","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_dialup_phone_burst.mp3","downloaded"
"sfx_three_slow_knocks","Three Slow Knocks","2-3 sec","door knocks","Downloads+(most+first)","Door knocking (Angry).wav","https://freesound.org/people/Macif/sounds/194365/","https://cdn.freesound.org/previews/194/194365_3035766-lq.mp3","Creative Commons 0","25264","2.11608","2","3","2.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_three_slow_knocks.mp3","downloaded"
"sfx_wooden_door_click_shut","Heavy Wooden Door Shut","1 sec","wooden door close","Downloads+(most+first)","Door, Front, Closing, A.wav","https://freesound.org/people/InspectorJ/sounds/431118/","https://cdn.freesound.org/previews/431/431118_5121236-lq.mp3","Attribution 4.0","30575","0.753855","0.75","1.25","1","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_wooden_door_click_shut.mp3","downloaded"
"sfx_soft_buzzing_device","Soft Device Buzz","2-4 sec","device buzz","Downloads+(most+first)","Square Buzz","https://freesound.org/people/Headphaze/sounds/158719/","https://cdn.freesound.org/previews/158/158719_847303-lq.mp3","Attribution 4.0","3010","12.4273","2","4","3","8.427","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_soft_buzzing_device.mp3","downloaded"
"sfx_hesitant_footsteps","Hesitant Footsteps","3-5 sec","hesitant footsteps","Downloads+(most+first)","FOOTSTEP IN GRAVEL - 2","https://freesound.org/people/SamuelGremaud/sounds/437028/","https://cdn.freesound.org/previews/437/437028_8031303-lq.mp3","Creative Commons 0","175","6.41067","3","5","4","1.411","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_hesitant_footsteps.mp3","downloaded"
"sfx_static_burst_silence","Static Burst to Silence","1-2 sec","static burst","Downloads+(most+first)","Static Burst 2","https://freesound.org/people/SilverIllusionist/sounds/696594/","https://cdn.freesound.org/previews/696/696594_7395592-lq.mp3","Attribution 4.0","705","1.5","1","2","1.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_static_burst_silence.mp3","downloaded"
"sfx_door_unlock_click","Door Unlock Click","under 1 sec","door unlock click","Downloads+(most+first)","hotel_room_door_locking.wav","https://freesound.org/people/joedeshon/sounds/118232/","https://cdn.freesound.org/previews/118/118232_1218676-lq.mp3","Attribution 4.0","4573","0.250794","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_door_unlock_click.mp3","downloaded"
"sfx_door_burst_run","Door Burst and Running Footsteps","2-4 sec","door slam footsteps","Downloads+(most+first)","FAUVRE_Lola_2016_2017_Steps.wav","https://freesound.org/people/univ_lyon3/sounds/365904/","https://cdn.freesound.org/previews/365/365904_2465261-lq.mp3","Attribution 4.0","259","3.2301","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_door_burst_run.mp3","downloaded"
"sfx_server_rack_boom","Server Rack Crash Boom","2 sec","metal crash boom","Downloads+(most+first)","sound-gong1.wav","https://freesound.org/people/zippi1/sounds/18447/","https://cdn.freesound.org/previews/18/18447_30267-lq.mp3","Attribution NonCommercial 4.0","4101","2.11156","1.5","2.5","2","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_server_rack_boom.mp3","downloaded"
"sfx_digital_glass_shatter","Digital Glass Shatter","1-2 sec","glass shatter","Downloads+(most+first)","glass shatter.wav","https://freesound.org/people/datasoundsample/sounds/41348/","https://cdn.freesound.org/previews/41/41348_433684-lq.mp3","Attribution 4.0","36160","1.0334","1","2","1.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_digital_glass_shatter.mp3","downloaded"
"sfx_footsteps_wooden_stairs_above","Footsteps on Wooden Stairs Above","2-4 sec","footsteps wooden stairs","Downloads+(most+first)","Running Up The Stairs.wav","https://freesound.org/people/RutgerMuller/sounds/51163/","https://cdn.freesound.org/previews/51/51163_179538-lq.mp3","Creative Commons 0","23003","2.73136","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_wooden_stairs_above.mp3","downloaded"
"sfx_dialup_whine_build","Dial-Up Whine Build","2-4 sec","dial up tone","Downloads+(most+first)","hang up.wav","https://freesound.org/people/THE_bizniss/sounds/58228/","https://cdn.freesound.org/previews/58/58228_382028-lq.mp3","","5364","2.40753","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_dialup_whine_build.mp3","downloaded"
"sfx_static_explosion","Static Explosion","1 sec","static explosion","Downloads+(most+first)","PCM1.WAV","https://freesound.org/people/sleep/sounds/930/","https://cdn.freesound.org/previews/0/930_838-lq.mp3","Sampling+","832","1.39002","0.75","1.25","1","0.14","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_static_explosion.mp3","downloaded"
"sfx_police_breach_basement","Police Breach Basement","3-6 sec","police shout door","Downloads+(most+first)","Police Raid and Wind","https://freesound.org/people/MarcelWagner/sounds/693846/","https://cdn.freesound.org/previews/693/693846_11538612-lq.mp3","Creative Commons 0","375","52.3896","3","6","4.5","46.39","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_police_breach_basement.mp3","downloaded"
